Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query4Opt;1;ExecutionTimeSecs;0.013572034
SQLSIBenchmarkExecutor;vgu200;Query4Opt;1;ExecutionTimeSecs;0.002974682
SQLSIBenchmarkExecutor;vgu300;Query4Opt;1;ExecutionTimeSecs;0.011218297
SQLSIBenchmarkExecutor;vgu400;Query4Opt;1;ExecutionTimeSecs;0.011203738
SQLSIBenchmarkExecutor;vgu500;Query4Opt;1;ExecutionTimeSecs;0.011198878
SQLSIBenchmarkExecutor;vgu600;Query4Opt;1;ExecutionTimeSecs;0.011296802
SQLSIBenchmarkExecutor;vgu700;Query4Opt;1;ExecutionTimeSecs;0.010960251
SQLSIBenchmarkExecutor;vgu800;Query4Opt;1;ExecutionTimeSecs;0.004766477
SQLSIBenchmarkExecutor;vgu900;Query4Opt;1;ExecutionTimeSecs;0.011448778
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;1;ExecutionTimeSecs;0.011431492
SQLSIBenchmarkExecutor;vgu100;Query4Opt;2;ExecutionTimeSecs;0.00651674
SQLSIBenchmarkExecutor;vgu200;Query4Opt;2;ExecutionTimeSecs;0.00458486
SQLSIBenchmarkExecutor;vgu300;Query4Opt;2;ExecutionTimeSecs;0.011160684
SQLSIBenchmarkExecutor;vgu400;Query4Opt;2;ExecutionTimeSecs;0.011171067
SQLSIBenchmarkExecutor;vgu500;Query4Opt;2;ExecutionTimeSecs;0.011111064
SQLSIBenchmarkExecutor;vgu600;Query4Opt;2;ExecutionTimeSecs;0.011222429
SQLSIBenchmarkExecutor;vgu700;Query4Opt;2;ExecutionTimeSecs;0.011284269
SQLSIBenchmarkExecutor;vgu800;Query4Opt;2;ExecutionTimeSecs;0.011358342
SQLSIBenchmarkExecutor;vgu900;Query4Opt;2;ExecutionTimeSecs;0.011100166
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;2;ExecutionTimeSecs;0.013202318
SQLSIBenchmarkExecutor;vgu100;Query4Opt;3;ExecutionTimeSecs;0.013465777
SQLSIBenchmarkExecutor;vgu200;Query4Opt;3;ExecutionTimeSecs;0.004345978
SQLSIBenchmarkExecutor;vgu300;Query4Opt;3;ExecutionTimeSecs;0.006429798
SQLSIBenchmarkExecutor;vgu400;Query4Opt;3;ExecutionTimeSecs;0.012861542
SQLSIBenchmarkExecutor;vgu500;Query4Opt;3;ExecutionTimeSecs;0.013117242
SQLSIBenchmarkExecutor;vgu600;Query4Opt;3;ExecutionTimeSecs;0.013100565
SQLSIBenchmarkExecutor;vgu700;Query4Opt;3;ExecutionTimeSecs;0.013229625
SQLSIBenchmarkExecutor;vgu800;Query4Opt;3;ExecutionTimeSecs;0.013233554
SQLSIBenchmarkExecutor;vgu900;Query4Opt;3;ExecutionTimeSecs;0.0128033
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;3;ExecutionTimeSecs;0.013348103
SQLSIBenchmarkExecutor;vgu100;Query4Opt;4;ExecutionTimeSecs;0.013424402
SQLSIBenchmarkExecutor;vgu200;Query4Opt;4;ExecutionTimeSecs;0.004672107
SQLSIBenchmarkExecutor;vgu300;Query4Opt;4;ExecutionTimeSecs;0.011044721
SQLSIBenchmarkExecutor;vgu400;Query4Opt;4;ExecutionTimeSecs;0.004854981
SQLSIBenchmarkExecutor;vgu500;Query4Opt;4;ExecutionTimeSecs;0.011199421
SQLSIBenchmarkExecutor;vgu600;Query4Opt;4;ExecutionTimeSecs;0.011281067
SQLSIBenchmarkExecutor;vgu700;Query4Opt;4;ExecutionTimeSecs;0.01134299
SQLSIBenchmarkExecutor;vgu800;Query4Opt;4;ExecutionTimeSecs;0.013056796
SQLSIBenchmarkExecutor;vgu900;Query4Opt;4;ExecutionTimeSecs;0.006161639
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;4;ExecutionTimeSecs;0.01317344
SQLSIBenchmarkExecutor;vgu100;Query4Opt;5;ExecutionTimeSecs;0.0135015
SQLSIBenchmarkExecutor;vgu200;Query4Opt;5;ExecutionTimeSecs;0.004530041
SQLSIBenchmarkExecutor;vgu300;Query4Opt;5;ExecutionTimeSecs;0.011149186
SQLSIBenchmarkExecutor;vgu400;Query4Opt;5;ExecutionTimeSecs;0.011111196
SQLSIBenchmarkExecutor;vgu500;Query4Opt;5;ExecutionTimeSecs;0.013054794
SQLSIBenchmarkExecutor;vgu600;Query4Opt;5;ExecutionTimeSecs;0.013290068
SQLSIBenchmarkExecutor;vgu700;Query4Opt;5;ExecutionTimeSecs;0.013184024
SQLSIBenchmarkExecutor;vgu800;Query4Opt;5;ExecutionTimeSecs;0.013054626
SQLSIBenchmarkExecutor;vgu900;Query4Opt;5;ExecutionTimeSecs;0.012776003
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;5;ExecutionTimeSecs;0.013300121
SQLSIBenchmarkExecutor;vgu100;Query4Opt;6;ExecutionTimeSecs;0.008197663
SQLSIBenchmarkExecutor;vgu200;Query4Opt;6;ExecutionTimeSecs;0.004542993
SQLSIBenchmarkExecutor;vgu300;Query4Opt;6;ExecutionTimeSecs;0.011119834
SQLSIBenchmarkExecutor;vgu400;Query4Opt;6;ExecutionTimeSecs;0.013110434
SQLSIBenchmarkExecutor;vgu500;Query4Opt;6;ExecutionTimeSecs;0.012858884
SQLSIBenchmarkExecutor;vgu600;Query4Opt;6;ExecutionTimeSecs;0.006660694
SQLSIBenchmarkExecutor;vgu700;Query4Opt;6;ExecutionTimeSecs;0.013210319
SQLSIBenchmarkExecutor;vgu800;Query4Opt;6;ExecutionTimeSecs;0.013203747
SQLSIBenchmarkExecutor;vgu900;Query4Opt;6;ExecutionTimeSecs;0.012785849
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;6;ExecutionTimeSecs;0.013296428
SQLSIBenchmarkExecutor;vgu100;Query4Opt;7;ExecutionTimeSecs;0.013408989
SQLSIBenchmarkExecutor;vgu200;Query4Opt;7;ExecutionTimeSecs;0.004342785
SQLSIBenchmarkExecutor;vgu300;Query4Opt;7;ExecutionTimeSecs;0.011209084
SQLSIBenchmarkExecutor;vgu400;Query4Opt;7;ExecutionTimeSecs;0.003134982
SQLSIBenchmarkExecutor;vgu500;Query4Opt;7;ExecutionTimeSecs;0.011196887
SQLSIBenchmarkExecutor;vgu600;Query4Opt;7;ExecutionTimeSecs;0.011184705
SQLSIBenchmarkExecutor;vgu700;Query4Opt;7;ExecutionTimeSecs;0.011221482
SQLSIBenchmarkExecutor;vgu800;Query4Opt;7;ExecutionTimeSecs;0.011333255
SQLSIBenchmarkExecutor;vgu900;Query4Opt;7;ExecutionTimeSecs;0.011077965
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;7;ExecutionTimeSecs;0.004730556
SQLSIBenchmarkExecutor;vgu100;Query4Opt;8;ExecutionTimeSecs;0.013392832
SQLSIBenchmarkExecutor;vgu200;Query4Opt;8;ExecutionTimeSecs;0.006378279
SQLSIBenchmarkExecutor;vgu300;Query4Opt;8;ExecutionTimeSecs;0.011121549
SQLSIBenchmarkExecutor;vgu400;Query4Opt;8;ExecutionTimeSecs;0.011271162
SQLSIBenchmarkExecutor;vgu500;Query4Opt;8;ExecutionTimeSecs;0.011102826
SQLSIBenchmarkExecutor;vgu600;Query4Opt;8;ExecutionTimeSecs;0.011183205
SQLSIBenchmarkExecutor;vgu700;Query4Opt;8;ExecutionTimeSecs;0.011899456
SQLSIBenchmarkExecutor;vgu800;Query4Opt;8;ExecutionTimeSecs;0.011328828
SQLSIBenchmarkExecutor;vgu900;Query4Opt;8;ExecutionTimeSecs;0.004472702
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;8;ExecutionTimeSecs;0.011396476
SQLSIBenchmarkExecutor;vgu100;Query4Opt;9;ExecutionTimeSecs;0.013381789
SQLSIBenchmarkExecutor;vgu200;Query4Opt;9;ExecutionTimeSecs;0.004503202
SQLSIBenchmarkExecutor;vgu300;Query4Opt;9;ExecutionTimeSecs;0.011068264
SQLSIBenchmarkExecutor;vgu400;Query4Opt;9;ExecutionTimeSecs;0.011268864
SQLSIBenchmarkExecutor;vgu500;Query4Opt;9;ExecutionTimeSecs;0.011150674
SQLSIBenchmarkExecutor;vgu600;Query4Opt;9;ExecutionTimeSecs;0.011230096
SQLSIBenchmarkExecutor;vgu700;Query4Opt;9;ExecutionTimeSecs;0.011211977
SQLSIBenchmarkExecutor;vgu800;Query4Opt;9;ExecutionTimeSecs;0.00682563
SQLSIBenchmarkExecutor;vgu900;Query4Opt;9;ExecutionTimeSecs;0.012944007
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;9;ExecutionTimeSecs;0.013362804
SQLSIBenchmarkExecutor;vgu100;Query4Opt;10;ExecutionTimeSecs;0.013336707
SQLSIBenchmarkExecutor;vgu200;Query4Opt;10;ExecutionTimeSecs;0.00441868
SQLSIBenchmarkExecutor;vgu300;Query4Opt;10;ExecutionTimeSecs;0.011163618
SQLSIBenchmarkExecutor;vgu400;Query4Opt;10;ExecutionTimeSecs;0.011087321
SQLSIBenchmarkExecutor;vgu500;Query4Opt;10;ExecutionTimeSecs;0.01119231
SQLSIBenchmarkExecutor;vgu600;Query4Opt;10;ExecutionTimeSecs;0.011209668
SQLSIBenchmarkExecutor;vgu700;Query4Opt;10;ExecutionTimeSecs;0.003282056
SQLSIBenchmarkExecutor;vgu800;Query4Opt;10;ExecutionTimeSecs;0.011326244
SQLSIBenchmarkExecutor;vgu900;Query4Opt;10;ExecutionTimeSecs;0.011109377
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;10;ExecutionTimeSecs;0.011348748
SQLSIBenchmarkExecutor;vgu100;Query4Opt;11;ExecutionTimeSecs;0.013305154
SQLSIBenchmarkExecutor;vgu200;Query4Opt;11;ExecutionTimeSecs;0.006077492
SQLSIBenchmarkExecutor;vgu300;Query4Opt;11;ExecutionTimeSecs;0.011153345
SQLSIBenchmarkExecutor;vgu400;Query4Opt;11;ExecutionTimeSecs;0.012848992
SQLSIBenchmarkExecutor;vgu500;Query4Opt;11;ExecutionTimeSecs;0.011218172
SQLSIBenchmarkExecutor;vgu600;Query4Opt;11;ExecutionTimeSecs;0.01118207
SQLSIBenchmarkExecutor;vgu700;Query4Opt;11;ExecutionTimeSecs;0.011265649
SQLSIBenchmarkExecutor;vgu800;Query4Opt;11;ExecutionTimeSecs;0.011342748
SQLSIBenchmarkExecutor;vgu900;Query4Opt;11;ExecutionTimeSecs;0.011144139
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;11;ExecutionTimeSecs;0.013143156
SQLSIBenchmarkExecutor;vgu100;Query4Opt;12;ExecutionTimeSecs;0.013386667
SQLSIBenchmarkExecutor;vgu200;Query4Opt;12;ExecutionTimeSecs;0.011674065
SQLSIBenchmarkExecutor;vgu300;Query4Opt;12;ExecutionTimeSecs;0.011201146
SQLSIBenchmarkExecutor;vgu400;Query4Opt;12;ExecutionTimeSecs;0.011290056
SQLSIBenchmarkExecutor;vgu500;Query4Opt;12;ExecutionTimeSecs;0.003194126
SQLSIBenchmarkExecutor;vgu600;Query4Opt;12;ExecutionTimeSecs;0.011645377
SQLSIBenchmarkExecutor;vgu700;Query4Opt;12;ExecutionTimeSecs;0.011922469
SQLSIBenchmarkExecutor;vgu800;Query4Opt;12;ExecutionTimeSecs;0.011234191
SQLSIBenchmarkExecutor;vgu900;Query4Opt;12;ExecutionTimeSecs;0.011114897
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;12;ExecutionTimeSecs;0.011873182
SQLSIBenchmarkExecutor;vgu100;Query4Opt;13;ExecutionTimeSecs;0.013478612
SQLSIBenchmarkExecutor;vgu200;Query4Opt;13;ExecutionTimeSecs;0.004388401
SQLSIBenchmarkExecutor;vgu300;Query4Opt;13;ExecutionTimeSecs;0.011109014
SQLSIBenchmarkExecutor;vgu400;Query4Opt;13;ExecutionTimeSecs;0.011478622
SQLSIBenchmarkExecutor;vgu500;Query4Opt;13;ExecutionTimeSecs;0.011182546
SQLSIBenchmarkExecutor;vgu600;Query4Opt;13;ExecutionTimeSecs;0.013065517
SQLSIBenchmarkExecutor;vgu700;Query4Opt;13;ExecutionTimeSecs;0.013214168
SQLSIBenchmarkExecutor;vgu800;Query4Opt;13;ExecutionTimeSecs;0.013273521
SQLSIBenchmarkExecutor;vgu900;Query4Opt;13;ExecutionTimeSecs;0.012900251
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;13;ExecutionTimeSecs;0.005554498
SQLSIBenchmarkExecutor;vgu100;Query4Opt;14;ExecutionTimeSecs;0.013248854
SQLSIBenchmarkExecutor;vgu200;Query4Opt;14;ExecutionTimeSecs;0.005856855
SQLSIBenchmarkExecutor;vgu300;Query4Opt;14;ExecutionTimeSecs;0.011087927
SQLSIBenchmarkExecutor;vgu400;Query4Opt;14;ExecutionTimeSecs;0.011196986
SQLSIBenchmarkExecutor;vgu500;Query4Opt;14;ExecutionTimeSecs;0.012839351
SQLSIBenchmarkExecutor;vgu600;Query4Opt;14;ExecutionTimeSecs;0.013249183
SQLSIBenchmarkExecutor;vgu700;Query4Opt;14;ExecutionTimeSecs;0.011321461
SQLSIBenchmarkExecutor;vgu800;Query4Opt;14;ExecutionTimeSecs;0.0113179
SQLSIBenchmarkExecutor;vgu900;Query4Opt;14;ExecutionTimeSecs;0.00309408
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;14;ExecutionTimeSecs;0.011478987
SQLSIBenchmarkExecutor;vgu100;Query4Opt;15;ExecutionTimeSecs;0.01336709
SQLSIBenchmarkExecutor;vgu200;Query4Opt;15;ExecutionTimeSecs;0.004350482
SQLSIBenchmarkExecutor;vgu300;Query4Opt;15;ExecutionTimeSecs;0.011096946
SQLSIBenchmarkExecutor;vgu400;Query4Opt;15;ExecutionTimeSecs;0.012840457
SQLSIBenchmarkExecutor;vgu500;Query4Opt;15;ExecutionTimeSecs;0.011211299
SQLSIBenchmarkExecutor;vgu600;Query4Opt;15;ExecutionTimeSecs;0.011199179
SQLSIBenchmarkExecutor;vgu700;Query4Opt;15;ExecutionTimeSecs;0.011260315
SQLSIBenchmarkExecutor;vgu800;Query4Opt;15;ExecutionTimeSecs;0.011277964
SQLSIBenchmarkExecutor;vgu900;Query4Opt;15;ExecutionTimeSecs;0.011177943
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;15;ExecutionTimeSecs;0.011334028
SQLSIBenchmarkExecutor;vgu100;Query4Opt;16;ExecutionTimeSecs;0.013416746
SQLSIBenchmarkExecutor;vgu200;Query4Opt;16;ExecutionTimeSecs;0.004366845
SQLSIBenchmarkExecutor;vgu300;Query4Opt;16;ExecutionTimeSecs;0.012937845
SQLSIBenchmarkExecutor;vgu400;Query4Opt;16;ExecutionTimeSecs;0.013031275
SQLSIBenchmarkExecutor;vgu500;Query4Opt;16;ExecutionTimeSecs;0.013020075
SQLSIBenchmarkExecutor;vgu600;Query4Opt;16;ExecutionTimeSecs;0.013067966
SQLSIBenchmarkExecutor;vgu700;Query4Opt;16;ExecutionTimeSecs;0.005423155
SQLSIBenchmarkExecutor;vgu800;Query4Opt;16;ExecutionTimeSecs;0.013115511
SQLSIBenchmarkExecutor;vgu900;Query4Opt;16;ExecutionTimeSecs;0.012956025
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;16;ExecutionTimeSecs;0.013435607
SQLSIBenchmarkExecutor;vgu100;Query4Opt;17;ExecutionTimeSecs;0.01341717
SQLSIBenchmarkExecutor;vgu200;Query4Opt;17;ExecutionTimeSecs;0.011001561
SQLSIBenchmarkExecutor;vgu300;Query4Opt;17;ExecutionTimeSecs;0.011137804
SQLSIBenchmarkExecutor;vgu400;Query4Opt;17;ExecutionTimeSecs;0.012923227
SQLSIBenchmarkExecutor;vgu500;Query4Opt;17;ExecutionTimeSecs;0.006244261
