Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query5;1;ExecutionTimeSecs;1.145795646
SQLSIBenchmarkExecutor;vgu200;Query5;1;ExecutionTimeSecs;2.270837989
SQLSIBenchmarkExecutor;vgu300;Query5;1;ExecutionTimeSecs;6.157415368
SQLSIBenchmarkExecutor;vgu400;Query5;1;ExecutionTimeSecs;12.60881493
SQLSIBenchmarkExecutor;vgu500;Query5;1;ExecutionTimeSecs;23.613542734
SQLSIBenchmarkExecutor;vgu600;Query5;1;ExecutionTimeSecs;39.691301538
SQLSIBenchmarkExecutor;vgu700;Query5;1;ExecutionTimeSecs;59.06810379
SQLSIBenchmarkExecutor;vgu800;Query5;1;ExecutionTimeSecs;88.263825296
SQLSIBenchmarkExecutor;vgu900;Query5;1;ExecutionTimeSecs;121.39865892
SQLSIBenchmarkExecutor;vgu1000;Query5;1;ExecutionTimeSecs;163.066664958
SQLSIBenchmarkExecutor;vgu100;Query5;2;ExecutionTimeSecs;0.454228871
SQLSIBenchmarkExecutor;vgu200;Query5;2;ExecutionTimeSecs;2.254510963
SQLSIBenchmarkExecutor;vgu300;Query5;2;ExecutionTimeSecs;12.743911179
SQLSIBenchmarkExecutor;vgu400;Query5;2;ExecutionTimeSecs;12.929374412
SQLSIBenchmarkExecutor;vgu500;Query5;2;ExecutionTimeSecs;45.843752254
SQLSIBenchmarkExecutor;vgu600;Query5;2;ExecutionTimeSecs;39.338976215
SQLSIBenchmarkExecutor;vgu700;Query5;2;ExecutionTimeSecs;110.020402606
SQLSIBenchmarkExecutor;vgu800;Query5;2;ExecutionTimeSecs;86.366318015
SQLSIBenchmarkExecutor;vgu900;Query5;2;ExecutionTimeSecs;213.698045342
SQLSIBenchmarkExecutor;vgu1000;Query5;2;ExecutionTimeSecs;158.84963795
SQLSIBenchmarkExecutor;vgu100;Query5;3;ExecutionTimeSecs;0.45256062
SQLSIBenchmarkExecutor;vgu200;Query5;3;ExecutionTimeSecs;2.26277544
SQLSIBenchmarkExecutor;vgu300;Query5;3;ExecutionTimeSecs;6.083824505
SQLSIBenchmarkExecutor;vgu400;Query5;3;ExecutionTimeSecs;12.785927379
SQLSIBenchmarkExecutor;vgu500;Query5;3;ExecutionTimeSecs;23.913780741
SQLSIBenchmarkExecutor;vgu600;Query5;3;ExecutionTimeSecs;39.481782627
SQLSIBenchmarkExecutor;vgu700;Query5;3;ExecutionTimeSecs;59.629589122
SQLSIBenchmarkExecutor;vgu800;Query5;3;ExecutionTimeSecs;87.033441046
SQLSIBenchmarkExecutor;vgu900;Query5;3;ExecutionTimeSecs;120.1849612
SQLSIBenchmarkExecutor;vgu1000;Query5;3;ExecutionTimeSecs;162.449930812
