Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query5;1;ExecutionTimeSecs;0.043549666
SQLSIBenchmarkExecutor;vgu200;Query5;1;ExecutionTimeSecs;0.119051265
SQLSIBenchmarkExecutor;vgu300;Query5;1;ExecutionTimeSecs;0.264958316
SQLSIBenchmarkExecutor;vgu400;Query5;1;ExecutionTimeSecs;0.832572464
SQLSIBenchmarkExecutor;vgu500;Query5;1;ExecutionTimeSecs;1.307041567
SQLSIBenchmarkExecutor;vgu600;Query5;1;ExecutionTimeSecs;1.875658378
SQLSIBenchmarkExecutor;vgu700;Query5;1;ExecutionTimeSecs;2.560744331
SQLSIBenchmarkExecutor;vgu800;Query5;1;ExecutionTimeSecs;3.399659987
SQLSIBenchmarkExecutor;vgu900;Query5;1;ExecutionTimeSecs;4.348601489
SQLSIBenchmarkExecutor;vgu1000;Query5;1;ExecutionTimeSecs;5.399180271
SQLSIBenchmarkExecutor;vgu100;Query5;2;ExecutionTimeSecs;0.045391614
SQLSIBenchmarkExecutor;vgu200;Query5;2;ExecutionTimeSecs;0.120418313
SQLSIBenchmarkExecutor;vgu300;Query5;2;ExecutionTimeSecs;0.266877815
SQLSIBenchmarkExecutor;vgu400;Query5;2;ExecutionTimeSecs;0.470535883
SQLSIBenchmarkExecutor;vgu500;Query5;2;ExecutionTimeSecs;0.71728327
SQLSIBenchmarkExecutor;vgu600;Query5;2;ExecutionTimeSecs;1.045754493
SQLSIBenchmarkExecutor;vgu700;Query5;2;ExecutionTimeSecs;1.440271292
SQLSIBenchmarkExecutor;vgu800;Query5;2;ExecutionTimeSecs;1.898920872
SQLSIBenchmarkExecutor;vgu900;Query5;2;ExecutionTimeSecs;4.312498927
SQLSIBenchmarkExecutor;vgu1000;Query5;2;ExecutionTimeSecs;5.348430351
SQLSIBenchmarkExecutor;vgu100;Query5;3;ExecutionTimeSecs;0.072224646
SQLSIBenchmarkExecutor;vgu200;Query5;3;ExecutionTimeSecs;0.119131168
SQLSIBenchmarkExecutor;vgu300;Query5;3;ExecutionTimeSecs;0.262913179
SQLSIBenchmarkExecutor;vgu400;Query5;3;ExecutionTimeSecs;0.468140473
SQLSIBenchmarkExecutor;vgu500;Query5;3;ExecutionTimeSecs;0.726031245
SQLSIBenchmarkExecutor;vgu600;Query5;3;ExecutionTimeSecs;1.053042037
SQLSIBenchmarkExecutor;vgu700;Query5;3;ExecutionTimeSecs;1.435425831
SQLSIBenchmarkExecutor;vgu800;Query5;3;ExecutionTimeSecs;1.867453505
SQLSIBenchmarkExecutor;vgu900;Query5;3;ExecutionTimeSecs;2.413047727
SQLSIBenchmarkExecutor;vgu1000;Query5;3;ExecutionTimeSecs;3.010033981
SQLSIBenchmarkExecutor;vgu100;Query5;4;ExecutionTimeSecs;0.044733557
SQLSIBenchmarkExecutor;vgu200;Query5;4;ExecutionTimeSecs;0.120405503
SQLSIBenchmarkExecutor;vgu300;Query5;4;ExecutionTimeSecs;0.271305224
SQLSIBenchmarkExecutor;vgu400;Query5;4;ExecutionTimeSecs;0.468795124
SQLSIBenchmarkExecutor;vgu500;Query5;4;ExecutionTimeSecs;0.727048141
SQLSIBenchmarkExecutor;vgu600;Query5;4;ExecutionTimeSecs;1.041225593
SQLSIBenchmarkExecutor;vgu700;Query5;4;ExecutionTimeSecs;1.433113211
SQLSIBenchmarkExecutor;vgu800;Query5;4;ExecutionTimeSecs;1.919627041
SQLSIBenchmarkExecutor;vgu900;Query5;4;ExecutionTimeSecs;2.425664171
SQLSIBenchmarkExecutor;vgu1000;Query5;4;ExecutionTimeSecs;3.01888548
SQLSIBenchmarkExecutor;vgu100;Query5;5;ExecutionTimeSecs;0.068208939
SQLSIBenchmarkExecutor;vgu200;Query5;5;ExecutionTimeSecs;0.21525137
SQLSIBenchmarkExecutor;vgu300;Query5;5;ExecutionTimeSecs;0.268667012
SQLSIBenchmarkExecutor;vgu400;Query5;5;ExecutionTimeSecs;0.464128701
SQLSIBenchmarkExecutor;vgu500;Query5;5;ExecutionTimeSecs;0.722713927
SQLSIBenchmarkExecutor;vgu600;Query5;5;ExecutionTimeSecs;1.054991731
