Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query4;1;ExecutionTimeSecs;0.015918063
SQLSIBenchmarkExecutor;vgu200;Query4;1;ExecutionTimeSecs;0.017933806
SQLSIBenchmarkExecutor;vgu300;Query4;1;ExecutionTimeSecs;0.016569446
SQLSIBenchmarkExecutor;vgu400;Query4;1;ExecutionTimeSecs;0.030154603
SQLSIBenchmarkExecutor;vgu500;Query4;1;ExecutionTimeSecs;0.038138825
SQLSIBenchmarkExecutor;vgu600;Query4;1;ExecutionTimeSecs;0.048237372
SQLSIBenchmarkExecutor;vgu700;Query4;1;ExecutionTimeSecs;0.058525434
SQLSIBenchmarkExecutor;vgu800;Query4;1;ExecutionTimeSecs;0.071438546
SQLSIBenchmarkExecutor;vgu900;Query4;1;ExecutionTimeSecs;0.084090238
SQLSIBenchmarkExecutor;vgu1000;Query4;1;ExecutionTimeSecs;0.189700918
SQLSIBenchmarkExecutor;vgu100;Query4;2;ExecutionTimeSecs;0.009083586
SQLSIBenchmarkExecutor;vgu200;Query4;2;ExecutionTimeSecs;0.010801207
SQLSIBenchmarkExecutor;vgu300;Query4;2;ExecutionTimeSecs;0.023113453
SQLSIBenchmarkExecutor;vgu400;Query4;2;ExecutionTimeSecs;0.030067385
SQLSIBenchmarkExecutor;vgu500;Query4;2;ExecutionTimeSecs;0.038564026
SQLSIBenchmarkExecutor;vgu600;Query4;2;ExecutionTimeSecs;0.047794279
SQLSIBenchmarkExecutor;vgu700;Query4;2;ExecutionTimeSecs;0.059116487
SQLSIBenchmarkExecutor;vgu800;Query4;2;ExecutionTimeSecs;0.071410414
SQLSIBenchmarkExecutor;vgu900;Query4;2;ExecutionTimeSecs;0.083849265
SQLSIBenchmarkExecutor;vgu1000;Query4;2;ExecutionTimeSecs;0.099081778
SQLSIBenchmarkExecutor;vgu100;Query4;3;ExecutionTimeSecs;0.016347642
SQLSIBenchmarkExecutor;vgu200;Query4;3;ExecutionTimeSecs;0.010885363
SQLSIBenchmarkExecutor;vgu300;Query4;3;ExecutionTimeSecs;0.023647463
SQLSIBenchmarkExecutor;vgu400;Query4;3;ExecutionTimeSecs;0.030247672
SQLSIBenchmarkExecutor;vgu500;Query4;3;ExecutionTimeSecs;0.030602112
SQLSIBenchmarkExecutor;vgu600;Query4;3;ExecutionTimeSecs;0.048513833
SQLSIBenchmarkExecutor;vgu700;Query4;3;ExecutionTimeSecs;0.110704231
SQLSIBenchmarkExecutor;vgu800;Query4;3;ExecutionTimeSecs;0.136872666
SQLSIBenchmarkExecutor;vgu900;Query4;3;ExecutionTimeSecs;0.158970393
SQLSIBenchmarkExecutor;vgu1000;Query4;3;ExecutionTimeSecs;0.188868191
SQLSIBenchmarkExecutor;vgu100;Query4;4;ExecutionTimeSecs;0.016208606
SQLSIBenchmarkExecutor;vgu200;Query4;4;ExecutionTimeSecs;0.011108644
SQLSIBenchmarkExecutor;vgu300;Query4;4;ExecutionTimeSecs;0.015315841
SQLSIBenchmarkExecutor;vgu400;Query4;4;ExecutionTimeSecs;0.056827982
SQLSIBenchmarkExecutor;vgu500;Query4;4;ExecutionTimeSecs;0.070774851
SQLSIBenchmarkExecutor;vgu600;Query4;4;ExecutionTimeSecs;0.091240769
SQLSIBenchmarkExecutor;vgu700;Query4;4;ExecutionTimeSecs;0.112248584
SQLSIBenchmarkExecutor;vgu800;Query4;4;ExecutionTimeSecs;0.13594178
SQLSIBenchmarkExecutor;vgu900;Query4;4;ExecutionTimeSecs;0.162040584
SQLSIBenchmarkExecutor;vgu1000;Query4;4;ExecutionTimeSecs;0.188995198
SQLSIBenchmarkExecutor;vgu100;Query4;5;ExecutionTimeSecs;0.016159302
SQLSIBenchmarkExecutor;vgu200;Query4;5;ExecutionTimeSecs;0.0220556
SQLSIBenchmarkExecutor;vgu300;Query4;5;ExecutionTimeSecs;0.042541956
SQLSIBenchmarkExecutor;vgu400;Query4;5;ExecutionTimeSecs;0.056773614
SQLSIBenchmarkExecutor;vgu500;Query4;5;ExecutionTimeSecs;0.072953684
SQLSIBenchmarkExecutor;vgu600;Query4;5;ExecutionTimeSecs;0.091358692
SQLSIBenchmarkExecutor;vgu700;Query4;5;ExecutionTimeSecs;0.103395998
SQLSIBenchmarkExecutor;vgu800;Query4;5;ExecutionTimeSecs;0.135874184
SQLSIBenchmarkExecutor;vgu900;Query4;5;ExecutionTimeSecs;0.16034721
SQLSIBenchmarkExecutor;vgu1000;Query4;5;ExecutionTimeSecs;0.190056872
SQLSIBenchmarkExecutor;vgu100;Query4;6;ExecutionTimeSecs;0.01599078
SQLSIBenchmarkExecutor;vgu200;Query4;6;ExecutionTimeSecs;0.010923241
SQLSIBenchmarkExecutor;vgu300;Query4;6;ExecutionTimeSecs;0.024024419
SQLSIBenchmarkExecutor;vgu400;Query4;6;ExecutionTimeSecs;0.030928327
