Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query4Opt;1;ExecutionTimeSecs;0.013162828
SQLSIBenchmarkExecutor;vgu200;Query4Opt;1;ExecutionTimeSecs;0.011219432
SQLSIBenchmarkExecutor;vgu300;Query4Opt;1;ExecutionTimeSecs;0.011708818
SQLSIBenchmarkExecutor;vgu400;Query4Opt;1;ExecutionTimeSecs;0.012011946
SQLSIBenchmarkExecutor;vgu500;Query4Opt;1;ExecutionTimeSecs;0.012389746
SQLSIBenchmarkExecutor;vgu600;Query4Opt;1;ExecutionTimeSecs;0.012885511
SQLSIBenchmarkExecutor;vgu700;Query4Opt;1;ExecutionTimeSecs;0.012808798
SQLSIBenchmarkExecutor;vgu800;Query4Opt;1;ExecutionTimeSecs;0.013615273
SQLSIBenchmarkExecutor;vgu900;Query4Opt;1;ExecutionTimeSecs;0.006060223
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;1;ExecutionTimeSecs;0.014343939
SQLSIBenchmarkExecutor;vgu100;Query4Opt;2;ExecutionTimeSecs;0.013219531
SQLSIBenchmarkExecutor;vgu200;Query4Opt;2;ExecutionTimeSecs;0.005882671
SQLSIBenchmarkExecutor;vgu300;Query4Opt;2;ExecutionTimeSecs;0.011723433
SQLSIBenchmarkExecutor;vgu400;Query4Opt;2;ExecutionTimeSecs;0.01198476
SQLSIBenchmarkExecutor;vgu500;Query4Opt;2;ExecutionTimeSecs;0.012362037
SQLSIBenchmarkExecutor;vgu600;Query4Opt;2;ExecutionTimeSecs;0.012894312
SQLSIBenchmarkExecutor;vgu700;Query4Opt;2;ExecutionTimeSecs;0.013199816
SQLSIBenchmarkExecutor;vgu800;Query4Opt;2;ExecutionTimeSecs;0.006995393
SQLSIBenchmarkExecutor;vgu900;Query4Opt;2;ExecutionTimeSecs;0.013896064
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;2;ExecutionTimeSecs;0.014255719
SQLSIBenchmarkExecutor;vgu100;Query4Opt;3;ExecutionTimeSecs;0.013148208
SQLSIBenchmarkExecutor;vgu200;Query4Opt;3;ExecutionTimeSecs;0.004587525
SQLSIBenchmarkExecutor;vgu300;Query4Opt;3;ExecutionTimeSecs;0.011556953
